Strategy,Trades,Net Profit ($),Win Rate (%),Profit Factor,Sharpe Ratio,Max Drawdown ($),Max Drawdown (%),Avg Win ($),Avg Loss ($),Win/Loss Ratio,Timeframe,Date Range
TREND (Donchian+EMA),297,-393.19,31.65,0.84,-0.16,562.75,5.63,22.63,-12.41,1.82,M5,2026-06-22 00:00 to 2026-08-31 12:50
ORB (Range 30m),50,-234.49,24.0,0.57,-0.24,345.15,3.44,26.07,-14.4,1.81,M5,2026-06-22 00:00 to 2026-08-31 12:50
ORB (Range 60m),48,-86.34,29.17,0.83,-0.08,178.91,1.78,30.62,-15.15,2.02,M5,2026-06-22 00:00 to 2026-08-31 12:50
ORB (Range 90m),47,-35.87,29.79,0.93,-0.03,185.68,1.84,32.0,-14.66,2.18,M5,2026-06-22 00:00 to 2026-08-31 12:50
MOMENTUM (ADX+DI),316,247.42,36.71,1.1,0.1,209.96,2.07,24.5,-12.97,1.89,M5,2026-06-22 00:00 to 2026-08-31 12:50
PULLBACK (EMA),271,-375.57,34.69,0.84,-0.16,644.05,6.44,20.96,-13.25,1.58,M5,2026-06-22 00:00 to 2026-08-31 12:50
TREND (Donchian+EMA),88,268.37,40.91,1.23,0.21,125.05,1.24,39.29,-22.04,1.78,M15,2026-06-22 00:00 to 2026-08-31 12:45
ORB (Range 30m),48,-238.63,22.92,0.68,-0.26,460.49,4.52,47.03,-20.43,2.3,M15,2026-06-22 00:00 to 2026-08-31 12:45
ORB (Range 60m),43,-214.07,20.93,0.71,-0.22,365.93,3.6,57.56,-21.53,2.67,M15,2026-06-22 00:00 to 2026-08-31 12:45
ORB (Range 90m),39,56.41,30.77,1.09,0.06,129.54,1.27,54.46,-22.11,2.46,M15,2026-06-22 00:00 to 2026-08-31 12:45
MOMENTUM (ADX+DI),122,-269.58,28.69,0.86,-0.16,700.52,6.94,47.0,-22.01,2.14,M15,2026-06-22 00:00 to 2026-08-31 12:45
PULLBACK (EMA),90,116.98,35.56,1.11,0.1,211.7,2.09,37.7,-18.79,2.01,M15,2026-06-22 00:00 to 2026-08-31 12:45
TREND (Donchian+EMA),285,1363.39,37.19,1.25,0.21,556.27,4.95,63.75,-30.13,2.12,H1,2024-04-09 00:00 to 2026-08-31 12:00
ORB (Range 30m),342,-5.01,34.8,1.0,0.01,965.73,8.81,67.69,-36.14,1.87,H1,2024-04-09 00:00 to 2026-08-31 12:00
ORB (Range 60m),342,-5.01,34.8,1.0,0.01,965.73,8.81,67.69,-36.14,1.87,H1,2024-04-09 00:00 to 2026-08-31 12:00
ORB (Range 90m),311,223.03,34.41,1.03,0.04,687.24,6.65,67.32,-34.22,1.97,H1,2024-04-09 00:00 to 2026-08-31 12:00
MOMENTUM (ADX+DI),384,-34.51,33.33,1.0,0.0,1054.8,10.16,71.17,-35.72,1.99,H1,2024-04-09 00:00 to 2026-08-31 12:00
PULLBACK (EMA),225,97.84,34.22,1.02,0.02,709.46,7.09,65.34,-33.33,1.96,H1,2024-04-09 00:00 to 2026-08-31 12:00
