strategy,type,entry_time,entry_price,exit_time,exit_price,sl,tp,pnl,return_pct,exit_reason
PULLBACK (EMA),BUY,2024-01-02 01:00:00.118,2065.565,2024-01-02 15:37:16.107,2057.368200000001,2057.368200000001,2081.9585999999986,-8.196799999999257,-0.08196799999999256,SL
PULLBACK (EMA),BUY,2024-01-02 15:37:16.160,2057.572,2024-01-03 11:58:24.683,2047.1368081600854,2047.1368081600854,2078.4423836798296,-10.43519183991475,-0.10435191839914752,SL
PULLBACK (EMA),SELL,2024-01-05 02:00:00.428,2046.085,2024-01-05 13:30:05.685,2033.351237982547,2052.4518810087266,2033.351237982547,12.733762017453046,0.12733762017453046,TP
PULLBACK (EMA),SELL,2024-01-05 17:00:00.101,2044.925,2024-01-12 14:32:31.278,2060.951122862163,2060.951122862163,2012.8727542756737,-16.02612286216322,-0.1602612286216322,SL
PULLBACK (EMA),BUY,2024-01-16 07:00:00.041,2050.735,2024-01-16 08:34:58.339,2045.4700053003057,2045.4700053003057,2061.264989399389,-5.264994699694398,-0.05264994699694398,SL
PULLBACK (EMA),SELL,2024-01-22 06:00:00.082,2023.115,2024-01-22 12:42:36.583,2029.846055588594,2029.846055588594,2009.6528888228122,-6.7310555885940175,-0.06731055588594018,SL
PULLBACK (EMA),SELL,2024-01-22 14:00:00.087,2023.035,2024-01-23 06:53:20.969,2032.342209320193,2032.342209320193,2004.4205813596143,-9.307209320192896,-0.09307209320192897,SL
PULLBACK (EMA),SELL,2024-01-23 11:00:00.146,2025.015,2024-01-24 09:40:29.488,2034.2509696014704,2034.2509696014704,2006.5430607970595,-9.235969601470288,-0.09235969601470288,SL
PULLBACK (EMA),SELL,2024-01-24 15:00:00.077,2024.565,2024-01-29 13:41:09.736,2034.2064169475261,2034.2064169475261,2005.282166104948,-9.641416947526068,-0.09641416947526067,SL
PULLBACK (EMA),BUY,2024-01-30 16:00:00.080,2032.905,2024-01-31 23:59:58.924,2032.515,2019.512981799904,2059.689036400192,-0.38999999999987267,-0.0038999999999987265,END
